method,pose,tx,ty,tz,exact,grid,diff,ms_base,ms_grid
pisa,4,-1.08,-0.59,23.956,-0.0,-0.0,0.0,4.9543,5.4564
pisa,5,4.69,1.493,4.73,-0.0,-0.0,0.0,4.9691,4.7344
pisa,6,-0.246,1.486,3.166,-0.0,-0.0,0.0,5.1157,4.5575
pisa,7,3.704,-1.518,-0.543,-0.0,-0.0,0.0,4.1538,4.944
pisa,8,2.228,1.098,-1.144,-0.0,-0.0,0.0,4.9817,4.5174
pisa,9,-16.055,-0.431,10.143,-0.0,-0.0,0.0,5.1314,7.8285
pisa,10,-0.262,0.804,2.018,-0.0,-0.0,0.0,5.3705,5.3281
pisa,11,1.641,-3.143,-3.191,-0.0,-0.0,0.0,4.963,4.5124
pisa,12,4.066,3.593,4.868,-0.0,-0.0,0.0,4.9944,4.906
pisa,13,0.65,6.785,9.923,-0.0,-0.0,0.0,4.8237,5.0748
pisa,14,-3.1,3.333,9.533,-0.0,-0.0,0.0,5.2892,5.1384
pisa,15,-2.423,-5.175,0.131,-0.0,-0.0,0.0,4.7008,5.943
pisa,16,-4.491,-8.856,11.659,-0.0,-0.0,0.0,5.4267,5.0138
pisa,17,-0.218,9.922,6.546,-0.0,-0.0,0.0,4.9094,5.2282
pisa,18,-0.955,0.542,5.352,-0.0,-0.0,0.0,4.8102,5.1476
pisa,19,-11.187,6.316,10.29,-0.0,-0.0,0.0,4.9175,5.134
pisa,20,-0.554,1.853,7.064,-0.0,-0.0,0.0,6.637,5.8711
pisa,21,1.369,-5.247,3.232,-0.0,-0.0,0.0,4.4409,4.5005
pisa,22,0.07,-5.888,11.303,-0.0,-0.0,0.0,5.5561,6.8085
pisa,23,-8.225,5.265,-11.431,-0.0,-0.0,0.0,5.9014,6.3602
pisa,24,4.404,6.321,12.233,-0.0,-0.0,0.0,4.8382,4.5489
pisa,25,2.91,-14.49,-3.315,-0.0,-0.0,0.0,5.2503,5.7115
pisa,26,9.549,-16.666,0.679,-0.0,-0.0,0.0,9.8479,6.8842
pisa,27,5.917,21.6,-2.128,-0.0,-0.0,0.0,9.0223,6.325
pisa,28,-2.328,1.908,-0.602,-0.0,-0.0,0.0,4.8153,5.1909
pisa,29,1.98,-2.287,-3.209,-0.0,-0.0,0.0,5.3715,5.1728
pisa,30,-1.564,1.008,-6.45,-0.0,-0.0,0.0,7.9219,5.5998
sipper,0,0.0,0.0,0.0,-0.0,-0.0,0.0,4.4887,4.8857
sipper,1,2.494,-2.851,-2.208,-0.0,-0.0,0.0,5.6589,4.6658
sipper,2,-18.145,-1.982,-12.084,-0.0,-0.0,0.0,5.3414,7.5247
sipper,3,4.739,-4.75,-13.317,-0.0,-0.0,0.0,9.0984,6.6595
sipper,4,-1.08,-0.59,23.956,-0.0,-0.0,0.0,23.5269,26.386
sipper,5,4.69,1.493,4.73,-0.0,-0.0,0.0,5.2125,5.5992
sipper,6,-0.246,1.486,3.166,-0.0,-0.0,0.0,6.9278,7.8288
sipper,7,3.704,-1.518,-0.543,-0.0,-0.0,0.0,8.5193,6.6265
sipper,8,2.228,1.098,-1.144,-0.0,-0.0,0.0,8.8937,7.463
sipper,9,-16.055,-0.431,10.143,-0.0,-0.0,0.0,6.4878,7.4345
sipper,10,-0.262,0.804,2.018,-0.0,-0.0,0.0,5.6748,5.1307
sipper,11,1.641,-3.143,-3.191,-0.0,-0.0,0.0,4.3906,4.0715
sipper,12,4.066,3.593,4.868,-0.0,-0.0,0.0,5.0933,4.7667
sipper,13,0.65,6.785,9.923,-0.0,-0.0,0.0,4.8657,4.9861
sipper,14,-3.1,3.333,9.533,-0.0,-0.0,0.0,5.9606,4.7829
sipper,15,-2.423,-5.175,0.131,-0.0,-0.0,0.0,4.9654,5.5443
