method,pose,tx,ty,tz,exact,grid,diff,ms_base,ms_grid
sd,2,-18.145,-1.982,-12.084,-0.0,-0.0,0.0,7.4457,6.1754
sd,3,4.739,-4.75,-13.317,-286299166.715166,-286299166.715166,0.0,8.4713,7.2283
sd,4,-1.08,-0.59,23.956,-8209084532.734874,-8209084532.734874,0.0,8.993,8.2621
sd,5,4.69,1.493,4.73,-3873555351.430822,-3873555351.430822,0.0,9.082,8.3374
sd,6,-0.246,1.486,3.166,-5019242351.233768,-5019242351.233768,0.0,10.5915,9.5692
sd,7,3.704,-1.518,-0.543,-2994828588.663107,-2994828588.663107,0.0,9.2596,8.1915
sd,8,2.228,1.098,-1.144,-491.203206,-491.203206,0.0,7.6273,8.4544
sd,9,-16.055,-0.431,10.143,-140572167.019148,-140572167.019148,0.0,8.4971,8.5846
sd,10,-0.262,0.804,2.018,-14255267259.99087,-14255267259.99087,0.0,8.6416,9.8931
sd,11,1.641,-3.143,-3.191,-3407171333.017544,-3407171333.017544,0.0,9.5797,9.1867
sd,12,4.066,3.593,4.868,-4742933015.634307,-4742933015.634307,0.0,8.2179,10.6809
sd,13,0.65,6.785,9.923,-7409048595.435661,-7409048595.435661,0.0,10.8321,8.7391
sd,14,-3.1,3.333,9.533,-7107589375.037162,-7107589375.037162,0.0,9.0297,7.6036
sd,15,-2.423,-5.175,0.131,-6360607973.885489,-6360607973.885489,0.0,9.3258,9.8794
sd,16,-4.491,-8.856,11.659,-2621087921.058147,-2621087921.058147,0.0,9.4864,9.2536
sd,17,-0.218,9.922,6.546,-1280124547.687137,-1280124547.687137,0.0,9.575,9.0176
sd,18,-0.955,0.542,5.352,-10650073154.278187,-10650073154.278187,0.0,9.0897,9.6468
sd,19,-11.187,6.316,10.29,-3473364579.459041,-3473364579.459041,0.0,7.2242,8.3129
sd,20,-0.554,1.853,7.064,-22571332843.948208,-22571332843.948208,0.0,9.9458,10.6427
sd,21,1.369,-5.247,3.232,-9724192995.458885,-9724192995.458885,0.0,9.3504,10.2207
sd,22,0.07,-5.888,11.303,-15037184686.182491,-15037184686.182491,0.0,10.4305,9.1858
sd,23,-8.225,5.265,-11.431,-0.0,-0.0,0.0,8.7826,6.8752
